ID,Name,Progression,3DIcon
91,Apocalypse,0,ICON3D_WP_HUMMEL_105
92,Saintly Force,0,ICON3D_WP_HUMMEL_106
93,Blade Rifle,0,ICON3D_WP_HUMMEL_200
94,Beast Sniper,0,ICON3D_WP_HUMMEL_201
95,Grim Reaper,0,ICON3D_WP_HUMMEL_202
96,Fury Python,0,ICON3D_WP_HUMMEL_203
97,Dark Rhetoric,0,ICON3D_WP_HUMMEL_204
98,Apocalypse,0,ICON3D_WP_HUMMEL_205
99,Saintly Force,0,ICON3D_WP_HUMMEL_206
100,Coconut Maces,0,ICON3D_WP_RICOTTA_000
101,Silver Wolf Clubs,0,ICON3D_WP_RICOTTA_001
102,Dino Spikes,0,ICON3D_WP_RICOTTA_002
103,Rakshasa Clubs,0,ICON3D_WP_RICOTTA_003
104,Hecatoncheires,0,ICON3D_WP_RICOTTA_004
105,Heaven's Thunder,0,ICON3D_WP_RICOTTA_005
106,Coconut Maces,0,ICON3D_WP_RICOTTA_100
107,Silver Wolf Clubs,0,ICON3D_WP_RICOTTA_101
108,Dino Spikes,0,ICON3D_WP_RICOTTA_102
109,Rakshasa Clubs,0,ICON3D_WP_RICOTTA_103
110,Hecatoncheires,0,ICON3D_WP_RICOTTA_104
111,Heaven's Thunder,0,ICON3D_WP_RICOTTA_105
112,Coconut Maces,0,ICON3D_WP_RICOTTA_200
113,Silver Wolf Clubs,0,ICON3D_WP_RICOTTA_201
114,Dino Spikes,0,ICON3D_WP_RICOTTA_202
115,Rakshasa Clubs,0,ICON3D_WP_RICOTTA_203
116,Hecatoncheires,0,ICON3D_WP_RICOTTA_204
117,Heaven's Thunder,0,ICON3D_WP_RICOTTA_205
118,Edelsphere,0,ICON3D_WP_DANA_000
119,Celestria,0,ICON3D_WP_DANA_001
120,Caduceus,0,ICON3D_WP_DANA_002
121,Corona Iliad,0,ICON3D_WP_DANA_003
122,Crescent,0,ICON3D_WP_DANA_004
123,Edelsphere,0,ICON3D_WP_DANA_100
124,Celestria,0,ICON3D_WP_DANA_101
125,Caduceus,0,ICON3D_WP_DANA_102
126,Corona Iliad,0,ICON3D_WP_DANA_103
127,Edelsphere,0,ICON3D_WP_DANA_200
128,Celestria,0,ICON3D_WP_DANA_201
129,Caduceus,0,ICON3D_WP_DANA_202
130,Corona Iliad,0,ICON3D_WP_DANA_203
131,Sailor Uniform,0,ICON3D_COS_ADOL_00
132,Adol's Clothes,0,ICON3D_COS_ADOL_01
133,Cool Fencer,0,ICON3D_COS_ADOL_02
134,Pretty Lady,0,ICON3D_COS_LAXIA_02
135,Dandy Fisher,0,ICON3D_COS_SAHAD_02
136,Speed Gunner,0,ICON3D_COS_HUMMEL_02
137,Cutesy Girl,0,ICON3D_COS_RICOTTA_02
138,Noble Shaman,0,ICON3D_COS_DANA_02
139,Progressive Shop Rank,0,ICON3D_139
140,Ricotta Style,0,ICON3D_ATT_NECKLACE
141,Elegant Glasses,0,ICON3D_ATT_MEGANE
142,Clingy Pikkard,0,ICON3D_ATT_PICARD
143,Castaway,0,ICON3D_143
144,Skill,0,ICON3D_144
145,Party Member,0,ICON3D_145
146,Broken Mistilteinn,0,ICON3D_146
147,Broken Spirit Ring,0,ICON3D_147
148,Discovery,0,ICON3D_148
149,AP Item,0,ICON3D_149
150,----,0,ICON3D_150
151,Bone Necklace,0,ICON3D_AC_000
152,Bone Necklace II,0,ICON3D_AC_001
153,Bone Necklace III,0,ICON3D_AC_002
154,Bone Necklace IV,0,ICON3D_AC_003
155,Blade Ring,0,ICON3D_AC_004
156,Blade Ring II,0,ICON3D_AC_005
157,Blade Ring III,0,ICON3D_AC_006
158,Blade Ring IV,0,ICON3D_AC_007
159,Shield Earring,0,ICON3D_AC_008
160,Shield Earring II,0,ICON3D_AC_009
161,Shield Earring III,0,ICON3D_AC_010
162,Shield Earring IV,0,ICON3D_AC_011
163,Snake Amulet,0,ICON3D_AC_012
164,Snake Stone,0,ICON3D_AC_013
165,Lightning Amulet,0,ICON3D_AC_014
166,Lightning Stone,0,ICON3D_AC_015
167,Crow Amulet,0,ICON3D_AC_016
168,Crow Stone,0,ICON3D_AC_017
169,Fenrir Talisman,0,ICON3D_AC_018
170,Fenrir Stone,0,ICON3D_AC_019
171,Pyrios Talisman,0,ICON3D_AC_020
172,Pyrios Stone,0,ICON3D_AC_021
173,Dragon Pauldron,0,ICON3D_AC_022
174,Dragon Stone,0,ICON3D_AC_023
175,Nature Talisman,0,ICON3D_AC_024
176,Warrior Seal,0,ICON3D_AC_025
177,Warrior Seal II,0,ICON3D_AC_026
178,Warrior Seal III,0,ICON3D_AC_027
179,Warrior Seal IV,0,ICON3D_AC_028
180,Red Cape,0,ICON3D_AC_029
181,Blood Moon Charm,0,ICON3D_AC_030
182,Blue Cape,0,ICON3D_AC_031
183,Blue Moon Charm,0,ICON3D_AC_032
184,Gold Cape,0,ICON3D_AC_033
185,Sun Talisman,0,ICON3D_AC_034
186,Hunter Hat,0,ICON3D_AC_035
187,Pirate Bandanna,0,ICON3D_AC_036
188,Dancer Shawl,0,ICON3D_AC_037
189,Juggler Scarf,0,ICON3D_AC_038
190,Blood Fang,0,ICON3D_AC_039
191,Crimson Fang,0,ICON3D_AC_040
192,Athlete Ring,0,ICON3D_AC_041
193,Athlete Belt,0,ICON3D_AC_042
194,Sage Belt,0,ICON3D_AC_043
195,Hero Belt,0,ICON3D_AC_044
196,Legend Belt,0,ICON3D_AC_045
197,Wanderer Cloak,0,ICON3D_AC_046
198,Hero Cloak,0,ICON3D_AC_047
199,Tiger Claw,0,ICON3D_AC_048
200,Eagle Fencer,0,ICON3D_AC_049
201,Hawk Wing,0,ICON3D_AC_050
202,Feather Boots,0,ICON3D_AC_051
203,Gambler Coin,0,ICON3D_AC_052
204,Savage Mask,0,ICON3D_AC_053
205,Fighter Helmet,0,ICON3D_AC_054
206,Jade Pendant,0,ICON3D_AC_055
207,Jewel Brooch,0,ICON3D_AC_056
208,Old Seal Ring,0,ICON3D_AC_057
209,Ocean Hogeki,0,ICON3D_AC_058
210,Earth Orb,0,ICON3D_AC_059
211,Sky Crown,0,ICON3D_AC_060
212,Saint Ring,0,ICON3D_AC_061
213,Spirit Necklace,0,ICON3D_AC_062
214,Gray Pauldron,0,ICON3D_AC_063
215,Prominent Cloak,0,ICON3D_AC_064
216,Dragon Talisman,0,ICON3D_AC_065
217,Eternal Dark Orb,0,ICON3D_AC_066
218,Slash Medal,0,ICON3D_AC_067
219,Pierce Medal,0,ICON3D_AC_068
220,Strike Medal,0,ICON3D_AC_069
221,Chain Mail,0,ICON3D_AM_001
222,Riveted Leather,0,ICON3D_AM_001S
223,Ring Mail,0,ICON3D_AM_002
224,Bone Breastplate,0,ICON3D_AM_002S
225,Black Iron Armor,0,ICON3D_AM_003
226,Ruddy Breastplate,0,ICON3D_AM_003S
227,Lamellar Armor,0,ICON3D_AM_004
228,Brigandine,0,ICON3D_AM_004S
229,Reflex,0,ICON3D_AM_005
230,Bandit Guard,0,ICON3D_AM_005S
231,Anointed Armor,0,ICON3D_AM_006
232,Gladiator Armor,0,ICON3D_AM_006S
233,Dragon Armor,0,ICON3D_AM_007
234,Dragon Breastplate,0,ICON3D_AM_007S
235,Shining Chronos,0,ICON3D_AM_008M
236,Lachesis Flare,0,ICON3D_AM_008F
237,Nature Vest,0,ICON3D_AM_010M
238,Lively Tunic,0,ICON3D_AM_010F
239,Pirate Coat,0,ICON3D_AM_011M
240,Oracle Robe,0,ICON3D_AM_011F
241,Astral Garb,0,ICON3D_AM_012M
242,Cosmic Dress,0,ICON3D_AM_012F
243,Leather Armor,0,ICON3D_AM_000
244,Dark Jacket,0,ICON3D_AM_021
245,Beastly Guard,0,ICON3D_AM_022
246,Medium's Cloth,0,ICON3D_AM_023
247,----防具系----,0,ICON3D_AM_024
248,Torn Jacket,0,ICON3D_AM_025
249,----防具系----,0,ICON3D_AM_026
250,----防具系----,0,ICON3D_250
251,Leather Gloves,0,ICON3D_AR_000
252,Needle Wristband,0,ICON3D_AR_001
253,Iron Shield,0,ICON3D_AR_002
254,Stone Gloves,0,ICON3D_AR_003
255,Gauntlets,0,ICON3D_AR_004
256,Power Wrist,0,ICON3D_AR_005
257,Red Gloves,0,ICON3D_AR_006
258,Dark Gloves,0,ICON3D_AR_007
259,Bandit Gloves,0,ICON3D_AR_008
260,Blue Gloves,0,ICON3D_AR_009
261,Wood Shield,0,ICON3D_AR_010
262,Bravery Bracelet,0,ICON3D_AR_011
263,Primordial Knowledge,0,ICON3D_263
264,The Ultimate Catch,0,ICON3D_264
265,Wild and Free,0,ICON3D_265
266,Soft Gloves,0,ICON3D_AR_020
267,Prickly Band,0,ICON3D_AR_021
268,Tectite Shield,0,ICON3D_AR_022
269,Bolt Bracelet,0,ICON3D_AR_023
270,Heavy Gauntlets,0,ICON3D_AR_024
271,Warrior Wrist,0,ICON3D_AR_025
272,Crimson Bracelet,0,ICON3D_AR_026
273,Black Bracelet,0,ICON3D_AR_027
274,Bandit Bracelet,0,ICON3D_AR_028
275,Blue Bracelet,0,ICON3D_AR_029
276,Barbaric Bracelet,0,ICON3D_AR_030
277,AP Fury,0,ICON3D_AR_031
278,One Final Delivery,0,ICON3D_278
279,Broken Glasses,0,ICON3D_279
280,Broken Necklace,0,ICON3D_280
281,Rough Gloves,0,ICON3D_AR_040
282,Thorny Wristband,0,ICON3D_AR_041
283,Essence Shield,0,ICON3D_AR_042
284,Thunder Gauntlets,0,ICON3D_AR_043
285,Master Gauntlets,0,ICON3D_AR_044
286,Battle Armlet,0,ICON3D_AR_045
287,Hellfire Gauntlets,0,ICON3D_AR_046
288,Abyssal Gauntlets,0,ICON3D_AR_047
289,Bandit Gauntlets,0,ICON3D_AR_048
290,Blizzard Gauntlets,0,ICON3D_AR_049
291,Chaos Hand,0,ICON3D_AR_050
292,Savage Wristband,0,ICON3D_AR_051
293,Eternal Gauntlets,0,ICON3D_AR_052
294,Broken Lure,0,ICON3D_294
295,Light Arm Guard,0,ICON3D_AR_054
296,Needle Gauntlets,0,ICON3D_AR_055
297,Rai-Koo Gauntlets,0,ICON3D_AR_056
298,Impact Gauntlets,0,ICON3D_AR_057
299,Luminous Gauntlets,0,ICON3D_AR_058
300,Light Bone,0,ICON3D_MT_N1_BONE
301,Sturdy Bone,0,ICON3D_MT_N2_BONE
302,Beast Bone,0,ICON3D_MT_N3_BONE
303,Ancient Bone,0,ICON3D_MT_N4_BONE
304,---,0,ICON3D_304
305,Thin Hide,0,ICON3D_MT_N1_LEATHER
306,Thick Hide,0,ICON3D_MT_N2_LEATHER
307,Beast Hide,0,ICON3D_MT_N3_LEATHER
308,Ancient Hide,0,ICON3D_MT_N4_LEATHER
309,---,0,ICON3D_309
310,Murky Mucus,0,ICON3D_MT_N1_LIQUID
311,Sterile Mucus,0,ICON3D_MT_N2_LIQUID
312,Sparkling Mucus,0,ICON3D_MT_N3_LIQUID
313,Ancient Mucus,0,ICON3D_MT_N4_LIQUID
314,---,0,ICON3D_314
315,Flexible Branch,0,ICON3D_MT_N1_WOOD
316,Sturdy Lumber,0,ICON3D_MT_N2_WOOD
317,Warm Lumber,0,ICON3D_MT_N3_WOOD
318,Ancient Lumber,0,ICON3D_MT_N4_WOOD
319,---,0,ICON3D_319
320,Small Leaf,0,ICON3D_MT_N1_FLOWER
321,Beautiful Flower,0,ICON3D_MT_N2_FLOWER
322,Sparkling Leaf,0,ICON3D_MT_N3_FLOWER
323,Ancient Flower,0,ICON3D_MT_N4_FLOWER
324,---,0,ICON3D_324
325,Strange Mass,0,ICON3D_MT_N1_STONE
326,Iron Ore,0,ICON3D_MT_N2_STONE
327,Tectite Ore,0,ICON3D_MT_N3_STONE
328,Essence Stone,0,ICON3D_MT_N4_STONE
329,---,0,ICON3D_329
330,■DLC衣装,0,ICON3D_COS00_01
331,■DLC衣装,0,ICON3D_COS00_02
332,■DLC衣装,0,ICON3D_COS00_03
333,■DLC衣装,0,ICON3D_ITM00_01
334,■DLC衣装,0,ICON3D_ITM00_02
335,■DLC衣装,0,ICON3D_COS00_04
336,■DLC衣装,0,ICON3D_ATT_REAN
337,■DLC衣装,0,ICON3D_337
338,■DLC衣装,0,ICON3D_338
339,■DLC衣装,0,ICON3D_339
340,■DLC衣装,0,ICON3D_COS01_01
341,■DLC衣装,0,ICON3D_COS01_02
342,■DLC衣装,0,ICON3D_COS01_03
343,■DLC衣装,0,ICON3D_COS01_04
344,■DLC衣装,0,ICON3D_COS01_05
345,■DLC衣装,0,ICON3D_COS01_06
346,■DLC衣装,0,ICON3D_COS02_01
347,■DLC衣装,0,ICON3D_COS02_02
348,■DLC衣装,0,ICON3D_COS02_03
349,■DLC衣装,0,ICON3D_COS02_04
350,■DLC衣装,0,ICON3D_COS02_05
351,■DLC衣装,0,ICON3D_COS02_06
352,■DLC衣装,0,ICON3D_COS03_01
353,■DLC衣装,0,ICON3D_COS03_02
354,■DLC衣装,0,ICON3D_COS03_03
355,■DLC衣装,0,ICON3D_COS03_04
356,■DLC衣装,0,ICON3D_COS03_05
357,■DLC衣装,0,ICON3D_COS03_06
358,■DLC衣装,0,ICON3D_COS03_07
359,■DLC衣装,0,ICON3D_COS03_08
360,■DLCアタッチ,0,ICON3D_ATT_FEENA
361,■DLCアタッチ,0,ICON3D_ATT_LILIA
362,■DLCアタッチ,0,ICON3D_ATT_SHIELD
363,■DLCアタッチ,0,ICON3D_ATT_MEGANE01
364,■DLCアタッチ,0,ICON3D_ATT_MEGANE02
365,■DLCアタッチ,0,ICON3D_ATT_MEGANE03
366,■DLCアタッチ,0,ICON3D_ATT_MEGANE04
367,■DLCアタッチ,0,ICON3D_ATT_MEGANE05
368,■DLCアタッチ,0,ICON3D_ATT_MEGANE06
369,■DLCアタッチ,0,ICON3D_ATT_MASK01
370,■DLCアタッチ,0,ICON3D_ATT_MASK02
371,■DLCアタッチ,0,ICON3D_ATT_MASK03
372,■DLCアタッチ,0,ICON3D_372
373,■DLCアタッチ,0,ICON3D_373
374,■DLCアタッチ,0,ICON3D_374
375,■DLCアタッチ,0,ICON3D_375
376,■DLCアタッチ,0,ICON3D_376
377,■DLCアタッチ,0,ICON3D_377
378,■DLCアタッチ,0,ICON3D_378
379,■DLCアタッチ,0,ICON3D_379
380,■DLCアタッチ,0,ICON3D_380
381,■DLCアタッチ,0,ICON3D_381
382,■DLCアタッチ,0,ICON3D_382
383,■DLCアタッチ,0,ICON3D_383
384,■DLCアタッチ,0,ICON3D_384
385,■DLCアタッチ,0,ICON3D_385
386,■DLCアタッチ,0,ICON3D_386
387,■DLCアタッチ,0,ICON3D_387
388,■DLCアタッチ,0,ICON3D_388
389,■DLCアタッチ,0,ICON3D_389
390,■DLCアタッチ,0,ICON3D_390
391,■DLCアタッチ,0,ICON3D_391
392,■DLCアタッチ,0,ICON3D_392
393,■DLCアタッチ,0,ICON3D_393
394,■DLCアタッチ,0,ICON3D_394
395,■DLCアタッチ,0,ICON3D_395
396,■DLCアタッチ,0,ICON3D_396
397,■DLCアタッチ,0,ICON3D_COS00_01_B
398,■DLCアタッチ,0,ICON3D_COS00_01_A
399,■DLCアタッチ,0,ICON3D_COS00_03_A
400,Beast Claw,0,ICON3D_MT_R1_PARTS01
401,Remex,0,ICON3D_MT_R1_PARTS02
402,Strong Shell,0,ICON3D_MT_R1_PARTS03
403,Soft Fiber,0,ICON3D_MT_R1_PARTS04
404,Gwaranga Pincer,0,ICON3D_MT_R1_PARTS05
405,Bullfrodon Mucus,0,ICON3D_MT_R1_PARTS06
406,Odd Rock,0,ICON3D_MT_R1_PARTS07
407,---,0,ICON3D_407
408,---,0,ICON3D_408
409,---,0,ICON3D_409
410,---,0,ICON3D_410
411,---,0,ICON3D_411
412,---,0,ICON3D_412
413,---,0,ICON3D_413
414,---,0,ICON3D_414
415,---,0,ICON3D_415
416,---,0,ICON3D_416
417,---,0,ICON3D_417
418,---,0,ICON3D_418
419,Digitalis Leaf,0,ICON3D_MT_R1_FLOWER
420,Sword Tip Fang,0,ICON3D_MT_R2_PARTS01
421,Razor Feather,0,ICON3D_MT_R2_PARTS02
422,Accursed Shell,0,ICON3D_MT_R2_PARTS03
423,Lustrous Scale,0,ICON3D_MT_R2_PARTS04
424,Salamandine Hide,0,ICON3D_MT_R2_PARTS05
425,Zaspion Tail,0,ICON3D_MT_R2_PARTS06
426,---,0,ICON3D_MT_R2_PARTS07
427,---,0,ICON3D_427
428,---,0,ICON3D_428
429,---,0,ICON3D_428
430,---,0,ICON3D_430
431,---,0,ICON3D_431
432,---,0,ICON3D_432
433,---,0,ICON3D_433
434,---,0,ICON3D_434
435,---,0,ICON3D_435
436,Big Pearl,0,ICON3D_MT_R2_PEARL
437,Glow Rock,0,ICON3D_MT_NR2_STONE
438,Stalactite,0,ICON3D_MT_R2_STONE
439,Lateka Resin,0,ICON3D_MT_R2_WOOD
440,Thunder Claw,0,ICON3D_MT_R3_PARTS01
441,Blue Feather,0,ICON3D_MT_R3_PARTS02
442,Diamond Shell,0,ICON3D_MT_R3_PARTS03
443,Hard Fiber,0,ICON3D_MT_R3_PARTS04
444,Vivine Bitters,0,ICON3D_MT_R3_PARTS05
445,Essence Panzer,0,ICON3D_MT_R3_PARTS06
446,Saurian Scale,0,ICON3D_MT_R3_PARTS07
447,---,0,ICON3D_447
448,---,0,ICON3D_448
449,---,0,ICON3D_449
450,---,0,ICON3D_450
451,---,0,ICON3D_451
452,---,0,ICON3D_452
453,---,0,ICON3D_453
454,---,0,ICON3D_454
455,---,0,ICON3D_455
456,---,0,ICON3D_456
457,Moonlight Grass,0,ICON3D_MT_NR3_FLOWER
458,---,0,ICON3D_458
459,Rim Flower,0,ICON3D_MT_R3_FLOWER
460,Sunlight Fang,0,ICON3D_MT_R4_PARTS01
461,Lunar Wings,0,ICON3D_MT_R4_PARTS02
462,Starry Shell,0,ICON3D_MT_R4_PARTS03
463,Acidic Liquid,0,ICON3D_MT_R4_PARTS04
464,Dornicle Shell,0,ICON3D_MT_R4_PARTS05
465,Dandale Horn,0,ICON3D_MT_R4_PARTS06
466,Saurian Fang,0,ICON3D_MT_R4_PARTS07
467,---,0,ICON3D_467
468,---,0,ICON3D_468
469,---,0,ICON3D_469
470,---,0,ICON3D_470
471,---,0,ICON3D_471
472,---,0,ICON3D_472
473,---,0,ICON3D_473
474,---,0,ICON3D_474
475,---,0,ICON3D_475
476,Prismatic Jewel,0,ICON3D_MT_R4_GOLD
477,---,0,ICON3D_457
478,Dragon Crest Stone,0,ICON3D_MT_R4_STONE
479,Great Tree Lumber,0,ICON3D_MT_R4_WOOD
480,---,0,ICON3D_MT_R5_PARTS01
481,---,0,ICON3D_MT_R5_PARTS02
482,---,0,ICON3D_MT_R5_PARTS03
483,---,0,ICON3D_MT_R5_PARTS04
484,Underworld Bone,0,ICON3D_MT_R5_PARTS05
485,Underworld Hide,0,ICON3D_MT_R5_PARTS06
486,Saurian Carapace,0,ICON3D_MT_R5_PARTS07
487,---,0,ICON3D_487
488,---,0,ICON3D_488
489,---,0,ICON3D_489
490,---,0,ICON3D_490
491,---,0,ICON3D_491
492,---,0,ICON3D_492
493,---,0,ICON3D_493
494,---,0,ICON3D_494
495,---,0,ICON3D_495
496,---,0,ICON3D_496
497,Rivera's Undying Flower,0,ICON3D_MT_NR5_FLOWER
498,Pure Orichalcum,0,ICON3D_MT_R5_STONE
499,Aura Grass,0,ICON3D_MT_R5_FLOWER
500,Heal Potion,0,ICON3D_US_HEALSOLO_01
501,Full Potion,0,ICON3D_US_HEALSOLO_02
502,AP Packages,0,ICON3D_502
503,Revive Medicine,0,ICON3D_US_RESSURECT_01
504,Great Tree Drop,0,ICON3D_US_RESSURECT_02
505,Moon Tears,0,ICON3D_US_RESSURECT_11
506,Impetuous Water,0,ICON3D_US_EXTRA_01
507,Dynastic Water,0,ICON3D_US_EXTRA_02
508,Medicine,0,ICON3D_US_OLD_HEAL01
509,Full Medicine,0,ICON3D_US_OLD_HEAL02
510,Antidote,0,ICON3D_US_CURE_POISON
511,Eyedrop,0,ICON3D_US_CURE_DARK
512,Antiparalytic,0,ICON3D_US_CURE_PARALYZE
513,Defrost Medicine,0,ICON3D_US_CURE_FREEZE
514,Burn Medicine,0,ICON3D_US_CURE_FLAME
515,Hemostatic,0,ICON3D_US_CURE_BLOODLOSS
516,Remedy,0,ICON3D_US_CURE_ALL
517,Antiparalytic,0,ICON3D_US_OLD_CURE_PARALYZE
518,Burn Medicine,0,ICON3D_US_OLD_CURE_FLAME
519,Remedy,0,ICON3D_US_OLD_CURE_ALL
520,Sweet Remedy,0,ICON3D_US_ADD_EXP_01
521,Bitter Remedy,0,ICON3D_US_ADD_EXP_02
522,Hermit's Remedy,0,ICON3D_US_ADD_EXP_03
523,Power Elixir,0,ICON3D_US_ADD_STR
524,Defense Elixir,0,ICON3D_US_ADD_DEF
525,Life Elixir,0,ICON3D_US_ADD_HP
526,Spirit Elixir,0,ICON3D_US_ADD_SP
527,Tempest Elixir,0,ICON3D_US_ADD_LEVEL
528,Bestiary Potion,0,ICON3D_US_BESTIARYPT
529,---,0,ICON3D_529
530,Cruberry,0,ICON3D_US_BERRY
531,Coconut,0,ICON3D_US_COCONUT
532,Mango,0,ICON3D_US_MANGO
533,Dragon Tree Fruit,0,ICON3D_US_DRAGONFRUIT
534,---,0,ICON3D_534
535,Ripe Cruberry,0,ICON3D_US_BERRY_S
536,Ripe Coconut,0,ICON3D_US_COCONUT_S
537,Ripe Mango,0,ICON3D_US_MANGO_S
538,Dragon Tree Treasure,0,ICON3D_US_DRAGONFRUIT_S
539,---,0,ICON3D_539
540,Pearl Talisman,0,ICON3D_AC_540
541,Placid Talisman,0,ICON3D_AC_541
542,Hope Stone,0,ICON3D_AC_542
543,Luminous Ring,0,ICON3D_AC_543
544,Devil Fang,0,ICON3D_AC_544
545,Wings of Heavenly Flight,0,ICON3D_AC_545
546,Wheel of Eternity,0,ICON3D_AC_546
547,Crown of Creation,0,ICON3D_AC_547
548,Stone of Antiquity,0,ICON3D_AC_548
549,Garment of Many Tongues,0,ICON3D_AC_549
550,Fish Soup,0,ICON3D_USFD_FOOD00
551,Mushroom Omelet,0,ICON3D_USFD_FOOD01
552,Hearty Ratatouille,0,ICON3D_USFD_FOOD02
553,Colorful Meunière,0,ICON3D_USFD_FOOD03
554,Seafood Quiche,0,ICON3D_USFD_FOOD04
555,Cabbage Rolls,0,ICON3D_USFD_FOOD05
556,---,0,ICON3D_556
557,---,0,ICON3D_557
558,---,0,ICON3D_558
559,Fresh Vegetable Juice,0,ICON3D_USFD_JUICE
560,Meat-Wrapped Mushrooms,0,ICON3D_USFD_FOOD10
561,Fish Fry,0,ICON3D_USFD_FOOD11
